ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
201,3.3,0.9,8.6,4,2.1,1.8,6.3,41,4.5,0,1,0,0,2
202,.,0.4,.,2.5,1.2,1.7,5.2,35,3.3,0,1,0,0,1
203,3,.,9.1,7.1,3.5,3.4,.,55,5.2,0,1,1,0,3
204,.,1.5,.,4.8,1.9,2.5,7.2,36,.,1,0,1,0,1
205,5.1,1.4,.,4.8,3.3,2.6,3.8,49,4.9,0,1,0,0,2
206,4.6,2.1,7.9,5.8,3.4,2.8,4.7,49,5.9,0,1,0,1,3
207,.,1.5,.,4.8,1.9,2.5,7.2,36,.,1,0,1,0,1
208,5.2,1.3,9.7,6.1,3.2,3.9,6.7,54,5.8,0,1,0,1,3
209,3.5,2.8,9.9,3.5,3.1,1.7,5.4,49,5.4,0,1,0,1,3
210,4.1,3.7,5.9,.,.,.,.,.,.,.,0,1,0,2
211,3,2.8,7.8,7.1,3,3.8,7.9,49,4.4,0,1,1,1,2
212,4.8,1.7,7.6,4.2,3.3,1.4,5.8,39,5.5,0,1,0,0,2
213,3.1,.,.,7.8,3.6,4,5.9,43,5.2,0,1,1,1,2
214,.,2.7,5,.,2.2,.,.,.,3.6,1,.,1,.,1
215,4,0.5,6.7,4.5,2.2,2.1,5,31,4,0,1,0,1,1
216,.,1.6,6.4,5,.,2.1,8.4,25,3.4,1,0,1,1,1
217,6.1,0.5,9.2,4.8,3.3,2.8,7.1,60,5.2,0,1,0,1,3
218,.,2.8,5.2,5,.,2.7,8.4,38,3.7,1,0,1,0,1
219,3.1,2.2,6.7,6.8,2.6,2.9,.,.,4.3,1,0,1,0,1
220,6.5,.,9,7,3.2,3.7,8,33,5.4,0,1,0,0,1
221,.,1.6,.,4.8,2,2.8,.,32,4.3,0,1,0,0,1
222,3.9,2.2,.,4.6,.,2.5,8.3,47,5,0,1,0,1,2
223,2.8,1.4,8.1,3.8,2.1,1.4,6.6,39,4.4,1,0,1,0,1
224,.,.,8.6,5.7,2.7,3.7,6.7,.,5,0,1,0,1,1
225,4.7,1.3,.,.,3,2.6,6.8,54,5.9,0,1,0,0,3
226,3.4,2,9.7,4.7,2.7,1.7,4.8,49,4.7,0,1,0,0,3
227,3.2,.,5.7,5.1,3.6,2.9,6.2,.,4.4,0,1,1,1,2
228,.,1.8,7.7,.,3.4,1.5,5.9,40,5.6,0,1,0,0,2
229,5.3,1.4,9.7,6.1,.,3.9,6.8,54,5.9,0,1,0,1,3
230,4.7,1.3,9.9,6.7,3,2.6,6.8,55,6,0,1,0,0,3
231,3.7,0.7,8.2,6,2.1,2.5,.,41,5,0,1,0,0,2
232,.,.,8.2,5,3.6,2.5,9,53,5.2,1,0,1,1,2
233,4.5,.,.,5.9,.,.,8.8,50,.,1,0,.,0,.
234,2.8,2.4,6.7,4.9,2.5,2.6,9.2,32,3.7,1,0,1,1,1
235,3.8,0.8,8.7,2.9,1.6,.,5.6,39,.,0,1,0,0,1
236,2.9,2.6,7.7,7,2.8,3.6,7.7,47,4.2,0,1,1,1,2
237,4.9,.,7.4,6.9,4.6,4,9.6,62,6.2,1,0,1,0,2
238,.,2.5,9.6,5.5,4,3,7.7,65,6,0,1,0,0,3
239,4.3,1.8,7.6,5.4,3.1,2.5,4.4,46,5.6,0,1,0,1,3
240,.,1.5,9.9,2.7,1.3,1.2,1.7,50,5,1,0,1,1,2
241,3.1,1.9,.,4.5,.,3.1,3.8,54,4.8,0,1,0,1,3
242,5.1,1.9,9.2,5.8,3.6,2.3,4.5,60,6.1,0,1,0,0,3
243,4.1,1.1,9.3,5.5,2.5,2.7,7.4,47,5.3,0,1,0,1,3
244,3,3.8,5.5,4.9,3.4,2.6,6,.,4.2,0,1,1,1,2
245,.,2,.,4.7,.,3.2,.,.,3.4,1,0,.,1,.
246,3.7,1.4,9,.,2.6,2.3,6.8,45,4.9,0,1,0,0,2
247,4.2,2.5,9.2,6.2,3.3,3.9,7.3,59,6,0,1,0,0,3
248,.,.,6.4,5.3,3,2.5,7.1,46,4.5,1,0,1,0,2
249,5.3,.,8.5,3.7,3.5,1.9,4.8,58,4.3,0,1,0,0,3
250,.,3.7,.,5.2,3,2.3,9.1,49,4.8,1,0,1,1,2
251,3,3.2,6,5.3,3.1,3,8,43,3.3,1,0,1,0,1
252,2.8,3.8,8.9,6.9,3.3,3.2,8.2,53,5,0,1,1,0,3
253,.,2,9.3,5.9,3.7,2.4,4.6,60,6.1,0,1,0,0,3
254,3.4,3.7,6.4,5.7,3.5,3.4,8.4,47,3.8,1,0,1,0,1
255,.,1,.,3.4,1.7,1.1,6.2,35,4.1,1,0,1,0,1
256,.,3.3,7.5,4.5,2.5,2.4,7.6,39,3.6,1,0,1,1,1
257,3.6,.,.,5.8,3.7,2.5,9.3,44,4.8,1,0,1,1,2
258,4,0.9,9.1,5.4,2.4,2.6,7.3,46,5.1,0,1,0,1,3
259,.,2.1,6.9,5.4,1.1,2.6,8.9,29,3.9,1,0,1,1,1
260,.,2,6.4,4.5,2.1,2.2,8.8,28,3.3,1,0,1,1,1
261,3.6,.,.,6.2,4.5,.,.,.,.,1,.,1,1,2
262,5.6,2.2,8.2,3.1,4,1.6,5.3,55,3.9,0,1,0,1,3
263,3.6,.,9.9,.,.,.,.,.,4.9,.,1,0,0,3
264,5.2,1.3,9.1,4.5,3.3,2.7,7.3,60,5.1,0,1,0,1,3
265,3,2,6.6,6.6,2.4,2.7,8.2,41,4.1,1,0,1,0,1
266,4.2,2.4,9.4,4.9,3.2,2.7,8.5,49,5.2,0,1,0,1,2
267,3.8,0.8,.,.,2.2,2.6,5.3,42,5.1,0,1,0,0,2
268,3.3,2.6,9.7,3.3,2.9,1.5,5.2,47,.,0,1,0,1,3
269,.,1.9,.,4.5,1.5,3.1,9.9,39,3.3,1,0,1,1,1
270,4.5,1.6,8.7,4.6,3.1,2.1,6.8,56,5.1,0,1,0,0,3
